id;chapter;section;page;type;prompt;answer_text;options_json
1.01;Kapitel I. 1;1. Begriffe des Waffenrechts;6;self_assessment;Was regelt das Waffengesetz?;Das Waffengesetz regelt den Umgang mit Waffen oder Munition unter Berücksichtigung der Belange der öffentlichen Sicherheit und Ordnung.;[]
1.02;Kapitel I. 1;1. Begriffe des Waffenrechts;6;multiple_choice;Umgang mit einer Schusswaffe hat…;;"[{""key"": ""a"", ""text"": ""wer damit schießt."", ""correct"": true}, {""key"": ""b"", ""text"": ""wer die Waffe verbringt oder mitnimmt."", ""correct"": true}, {""key"": ""c"", ""text"": ""wer die Waffe unbrauchbar macht."", ""correct"": true}]"
1.03;Kapitel I. 1;1. Begriffe des Waffenrechts;6;self_assessment;Wie werden Schusswaffen im Sinne des Waffengesetzes definiert?;Schusswaffen sind Gegenstände, die zum Angriff oder zur Verteidigung, zur Signalgebung, zur Jagd, zur Distanzinjektion, zur Markierung, zum Sport oder zum Spiel bestimmt sind und bei denen Geschosse durch einen Lauf getrieben werden (Anlage 1 Abschnitt 1 Unterabschnitt 1 Nr. WaffG).;[]
1.04;Kapitel I. 1;1. Begriffe des Waffenrechts;6;multiple_choice;Welche der hier genannten Gegenstände sind Schusswaffen im Sinne des Waffengesetzes?;;"[{""key"": ""a"", ""text"": ""Armbrust"", ""correct"": false}, {""key"": ""b"", ""text"": ""Druckluftgewehr mit Zulassungszeichen „F im Fünfeck“"", ""correct"": true}, {""key"": ""c"", ""text"": ""Doppelflinte"", ""correct"": true}]"
1.05;Kapitel I. 1;1. Begriffe des Waffenrechts;6;multiple_choice;Welche der hier genannten Gegenstände sind Schusswaffen, bzw. ihnen gleichgestellte Gegenstände im Sinne des Waffengesetzes?;;"[{""key"": ""a"", ""text"": ""Soft-Air-Waffen mit einer Geschossenergie über 0,5 Joule"", ""correct"": true}, {""key"": ""b"", ""text"": ""Waffen mit einer Mündungsenergie von weniger als 7,5 Joule, bei denen die Geschosse durch Federdruck durch einen Lauf getrieben werden"", ""correct"": true}, {""key"": ""c"", ""text"": ""Präzisionsschleudern"", ""correct"": false}]"
1.06;Kapitel I. 1;1. Begriffe des Waffenrechts;6;multiple_choice;Welche der aufgeführten Waffen ist eine halbautomatische Schusswaffe im Sinne des Waffengesetzes?;;"[{""key"": ""a"", ""text"": ""Single-Action-Revolver"", ""correct"": false}, {""key"": ""b"", ""text"": ""Selbstladepistole"", ""correct"": true}, {""key"": ""c"", ""text"": ""Doppelflinte"", ""correct"": false}, {""key"": ""d"", ""text"": ""Double-Action Revolver"", ""correct"": false}]"
1.07;Kapitel I. 2;1. Begriffe des Waffenrechts;7;multiple_choice;Ein Double-Action-Revolver ist im Sinne des Waffenrechts...;;"[{""key"": ""a"", ""text"": ""eine vollautomatische Waffe."", ""correct"": false}, {""key"": ""b"", ""text"": ""keine halbautomatische Waffe."", ""correct"": true}, {""key"": ""c"", ""text"": ""eine halbautomatische Waffe."", ""correct"": false}]"
1.08;Kapitel I. 2;1. Begriffe des Waffenrechts;7;multiple_choice;Wie ist ein Revolver im „Kleinstkaliber“ 4 mm M20 waffenrechtlich einzuordnen?;;"[{""key"": ""a"", ""text"": ""WBK-pflichtige Schusswaffe"", ""correct"": true}, {""key"": ""b"", ""text"": ""Für Personen ab 18 Jahren frei erwerbbar"", ""correct"": false}, {""key"": ""c"", ""text"": ""Kann mit einem kleinen Waffenschein erworben werden"", ""correct"": false}]"
1.09;Kapitel I. 2;1. Begriffe des Waffenrechts;7;self_assessment;Welches sind die wesentlichen Teile einer halbautomatischen Pistole im waffenrechtlichen Sinne?;1. Lauf (Patronenlager) 2. Verschluss 3. Griffstück;[]
1.10;Kapitel I. 2;1. Begriffe des Waffenrechts;7;multiple_choice;Was ist die Schließfeder der großkalibrigen Pistole waffenrechtlich gesehen?;;"[{""key"": ""a"", ""text"": ""Ein Zubehörteil der Schusswaffe ohne waffenrechtliche Bedeutung."", ""correct"": true}, {""key"": ""b"", ""text"": ""Ein wesentlicher, erlaubnispflichtiger Teil der Schusswaffe."", ""correct"": false}, {""key"": ""c"", ""text"": ""Ein wesentlicher, beschusspflichtiger Teil der Schusswaffe."", ""correct"": false}]"
